ReviewID,Phrases,Phrase_Count
2597,airways true,1
2596,time cheerful,1
2596,cheerful professional,1
2595,united flights,1
2595,seats better,1
2595,seat comfortable,1
2621,offered help,1
2622,luggage lucky,1
2622,free unless,1
2471,seats comfortable,1
2663,flights comfortable,1
2663,excellent food,1
2663,comfortable landed,1
2663,better flights,1
2471,negates benefit,1
2663,also better,1
2662,staff friendly,1
2662,smartness cabin,1
2662,slip smartness,1
2471,pretty good,1
2662,impression excellent,1
2663,good ba,1
2662,heathrow gla,1
2662,great clean,1
2662,good flights,1
2662,glasgow enjoyable,1
2662,gla lhr,1
2662,friendly business,1
2662,flight great,1
2662,excellent staff,1
2662,enjoyable heathrow,1
2662,clean plane,1
2663,food good,1
2663,service excellent,1
2654,engaged another,1
2665,good service,1
2667,comfortable inflight,1
2667,actually enjoyed,1
2666,excellent arrived,1
2666,crew excellent,1
2665,plane good,1
2665,miami good,1
2665,inflight entertainment,1
2471,food pretty,1
2665,honestly could,1
2665,great plane,1
2665,good seats,1
2664,entertainment old,1
2665,entertainment absolute,1
2665,could care,1
2471,good best,1
2471,liked headphone,1
2665,care less,1
2665,airport great,1
2664,still good,1
2664,okay certainly,1
2664,inflight entertainment,1
2664,good british,1
2662,also good,1
2661,professional pleasant,1
2661,pleasant flight,1
2656,nice although,1
2658,impressed champagne,1
2658,great choice,1
2658,good selection,1
2658,good good,1
2658,entertainment seat,1
2658,comfortable private,1
2657,much enthusiasm,1
2657,enthusiasm meal,1
2656,small nice,1
2656,pretty quick,1
2472,good experience,1
2661,kind professional,1
2656,clean tidy,1
2656,bags pretty,1
2656,aircraft clean,1
2655,seats nice,1
2655,care took,1
2655,baggage care,1
2654,uniform confidently,1
2654,great choice,1
2654,good food,1
2472,helpful flights,1
2658,newspapers impressed,1
2658,quiet great,1
2658,range entertainment,1
2658,seat comfortable,1
2661,flight best,1
2661,crew kind,1
2661,best sleep,1
2471,using award,1
2660,positive aspect,1
2660,passengers great,1
2471,world best,1
