ReviewID,Phrases,Phrase_Count
2241,overall poor,1
2241,awful service,1
2246,frankly awful,1
2240,minute appalled,1
2229,negative crew,1
2230,although hate,1
2230,disappointed indeed,1
2230,hate climb,1
2230,would disappointed,1
2231,poorest seating,1
2231,unfortunately poorest,1
2233,chaotic due,1
2233,insanely chaotic,1
2234,brief scare,1
2234,scare pilot,1
2235,apparently problem,1
2235,bad would,1
2235,problem cargo,1
2236,disappointment given,1
2236,highly uncomfortable,1
2236,poor everything,1
2236,quite uncomfortable,1
2236,really disappointment,1
2236,selection poor,1
2240,appalled way,1
2246,emirates worst,1
2246,hate newspapers,1
2261,miserable unhelpful,1
2252,pathetic response,1
2252,system pathetic,1
2252,total chaos,1
2253,felt irritating,1
2253,irritating full,1
2254,boarding painfully,1
2254,painfully slow,1
2259,airways outrageous,1
2259,happened worst,1
2259,outrageous red,1
2259,worst customer,1
2260,give poor,1
2260,ill flight,1
2260,poor customer,1
2260,poor service,1
2260,seriously ill,1
2260,time poor,1
2261,awful cabin,1
2261,crew disappointed,1
2261,disappointed thought,1
2261,downright rude,1
2261,journey sadly,1
2252,problem via,1
2252,chaos two,1
2246,real steal,1
2251,waste time,1
2246,steal secondly,1
2246,worst terminal,1
2247,negative experience,1
2247,served negative,1
2248,ca fault,1
2248,drop wrong,1
2248,fault cabin,1
2248,miserable spent,1
2248,negative experience,1
2248,overall negative,1
2248,problem fact,1
2248,thoroughly miserable,1
2248,would problem,1
2248,wrong could,1
2249,annoying another,1
2249,complaints either,1
2249,fiancée complaints,1
2249,normally problems,1
2249,problems leg,1
2249,quite annoying,1
2251,lounge waste,1
2403,get wrong,1
2405,rude barman,1
2403,seat fault,1
2565,week awful,1
2571,really wrong,1
2571,sad iconic,1
2571,wrong bought,1
2572,imagine stupid,1
2572,layout terrible,1
2572,lousy flights,1
2572,service lousy,1
2572,stupid person,1
2572,terrible narrow,1
2573,looked tired,1
2573,tired going,1
2574,airways bad,1
2574,arrogant refused,1
2574,bad customer,1
2574,complained times,1
2574,complaints uk,1
2574,customer complaints,1
2574,fault sorry,1
2574,hell staff,1
2574,messed refused,1
2574,much stress,1
2567,really annoyed,1
2565,want fake,1
2574,problems came,1
2565,unhappy unfriendly,1
2562,pathetic looking,1
2562,waste time,1
2563,really wrong,1
2563,wrong either,1
2564,ageing badly,1
2564,badly grubby,1
2564,failed flight,1
2564,plane sadly,1
2564,poor outbound,1
2564,presented poor,1
2564,sadly neither,1
2564,system failed,1
2565,annoys british,1
2565,awful toilet,1
2565,basically meaningless,1
2565,food horrendous,1
2565,genuinely unhappy,1
2565,horrendous chicken,1
2565,meaningless would,1
2565,nothing glorified,1
2565,really annoys,1
2574,problem staff,1
2574,rectified problem,1
2562,europe waste,1
2579,rude breakfast,1
2579,shame stick,1
2580,dreadful ife,1
2580,horrid cramped,1
2580,seats horrid,1
2580,something dreadful,1
2581,awful customer,1
2582,fault armrest,1
2582,would fault,1
2583,shabby disgrace,1
2584,disgusting ear,1
2584,levels disgusting,1
2585,food poor,1
2586,stewardess bitter,1
2589,cancun disappointed,1
2589,disappointed british,1
2589,food shocking,1
2589,obvious shamed,1
2589,shamed flying,1
2589,shocking plus,1
2590,completely inadequate,1
2590,disappointed dealt,1
2579,seats poor,1
2579,poor standard,1
2574,returning complained,1
2579,poor quality,1
2574,rude arrogant,1
2574,sheer hell,1
2574,staff rude,1
2574,stress hassle,1
2575,flights pathetic,1
2575,pathetic guess,1
2575,ridiculous shortages,1
2576,horrible tiny,1
2576,past terrible,1
2576,terrible horrible,1
2577,chaos cabin,1
2577,made unpleasant,1
2577,stow chaos,1
2577,unpleasant ba,1
2579,dirty seats,1
2579,food poor,1
2579,horrendous even,1
2579,hostess rude,1
2579,massive shame,1
2579,meal horrendous,1
2579,old dirty,1
2562,miserable pathetic,1
2562,declined miserable,1
2590,sorely disappointed,1
2533,wasted night,1
2534,ife poor,1
2534,poor crew,1
2534,rude forget,1
2536,criticism flight,1
2538,case dire,1
2538,dire toilet,1
2538,disappointment declare,1
2538,hard uncomfortable,1
2538,less disappointment,1
2538,miserable business,1
2538,offer miserable,1
2539,although sadly,1
2539,board spite,1
2539,broken spend,1
2539,fail realise,1
2539,fault headsets,1
2539,fractious tired,1
2539,front broken,1
2539,horrible overpowering,1
2539,however fault,1
2539,sadly barbados,1
2534,bordering rude,1
2533,horrid excuse,1
2539,spite numerous,1
2533,hold horrid,1
2529,disappointingly poor,1
2529,however disappointingly,1
2529,poor choice,1
2529,terrible selection,1
2530,poor choice,1
2530,system poor,1
2531,aircraft dirty,1
2531,dirty boarded,1
2531,farce british,1
2531,fault use,1
2531,flight stank,1
2531,panicked prepaid,1
2531,stank eventually,1
2531,systems fault,1
2531,therefore panicked,1
2531,total waste,1
2531,utter farce,1
2531,waste time,1
2532,airways disappointed,1
2532,disappointed lack,1
2533,claim wasted,1
2539,somehow fail,1
2539,thick horrible,1
2560,wrong meal,1
2550,big lose,1
2552,hours discomfort,1
2552,old tired,1
2552,tired ba,1
2553,ba fault,1
2553,bad despite,1
2555,dirty glasses,1
2555,poor decided,1
2555,problem ba,1
2555,sandwiches poor,1
2555,war zone,1
2555,zone dirty,1
2557,disappointingly poor,1
2557,however disappointingly,1
2557,poor choice,1
2557,terrible selection,1
2558,lounge tired,1
2558,rude cut,1
2558,tired average,1
2559,poor choice,1
2559,system poor,1
2560,around wrong,1
2552,discomfort last,1
2548,problems encountered,1
2539,tired little,1
2548,jnb problems,1
2541,food shocking,1
2541,shocking advertise,1
2542,arrogant staff,1
2542,leg sadly,1
2542,rude arrogant,1
2542,sadly british,1
2542,seems rude,1
2544,boarding unacceptable,1
2544,poor chicken,1
2544,quality poor,1
2544,unacceptable pay,1
2545,absolutely disgusted,1
2545,bad experience,1
2545,bad experiences,1
2545,disgusted treatment,1
2545,due bad,1
2545,inefficient bad,1
2546,disappointed aircraft,1
2546,flight disappointed,1
2547,made poor,1
2547,poor airport,1
2590,inadequate way,1
2592,bad service,1
2403,unwelcome printing,1
2625,rudely asked,1
2625,small poor,1
2626,waste time,1
2627,airline fear,1
2627,fear cracks,1
2627,trip worse,1
2627,worse still,1
2629,lose bags,1
2629,lost lose,1
2629,reading waste,1
2629,waste money,1
2631,fault told,1
2631,pathetic economy,1
2631,return pathetic,1
2631,said fault,1
2631,waste money,1
2632,block flying,1
2632,could problem,1
2632,problem less,1
2632,seat block,1
2634,compensated gloom,1
2634,europe tired,1
2625,service poor,1
2625,responded rudely,1
2634,got miserable,1
2625,poor staff,1
2618,rudeness disdain,1
2619,completely appalling,1
2619,due incompetence,1
2619,incompetence british,1
2620,pay crazy,1
2622,blind coming,1
2622,boeing tired,1
2622,exactly wrong,1
2622,old tired,1
2622,surrounding blind,1
2622,tired aircraft,1
2622,tired tatty,1
2622,wrong place,1
2623,waiting wrong,1
2623,wrong part,1
2625,back pain,1
2625,endured horrible,1
2625,horrible british,1
2625,incredibly uncomfortable,1
2625,pain seat,1
2625,poor quality,1
2634,gloom gin,1
2634,many poor,1
2615,though dull,1
2642,bad experiences,1
2643,bad come,1
2643,croissant bad,1
2644,bored indifferent,1
2646,disappointing start,1
2646,got disappointing,1
2647,problem told,1
2647,would problem,1
2648,also bad,1
2648,gatwick problem,1
2648,problem premium,1
2649,disappointing business,1
2649,service disappointing,1
2650,dirty tables,1
2650,one worst,1
2650,poor food,1
2650,seating terrible,1
2650,service poor,1
2650,terrible requiring,1
2650,way dirty,1
2650,worst experiences,1
2651,airlines disappointing,1
2642,previous bad,1
2640,made disappointing,1
2634,miserable afternoon,1
2640,disappointing food,1
2634,poor reviews,1
2634,starving full,1
2634,tired seats,1
2634,took starving,1
2635,awful legs,1
2635,bad news,1
2635,boarding lousy,1
2635,food awful,1
2635,lousy check,1
2635,lousy inflight,1
2635,service lousy,1
2636,broken seat,1
2636,broken would,1
2636,food poor,1
2636,poor quality,1
2636,rest broken,1
2636,seat broken,1
2639,class unfair,1
2639,sit uncomfortably,1
2639,uncomfortably pay,1
2639,unfair ask,1
2618,disdain passengers,1
2615,dull sandwich,1
2592,delhi problem,1
2597,problem food,1
2597,shocking club,1
2597,tired call,1
2597,tired hardware,1
2597,useless hold,1
2598,airways disappointed,1
2598,disappointed paid,1
2598,miserable whoever,1
2598,surly miserable,1
2599,complaints even,1
2599,dismayed ba,1
2599,dreadful agent,1
2599,flight complaints,1
2599,however dismayed,1
2599,staff dreadful,1
